t_s,phase,fps,cpu_process_ms,gpu_ms,draw_calls,primitives,video_mem_mb,x,y,z
0.007,1,144.00,7.332,6.400,94,139720,178.0,4.21,1.15,22.80
0.014,1,144.00,7.332,6.371,192,260814,178.0,4.22,1.15,22.80
0.021,1,144.00,7.332,6.104,192,260818,178.0,4.24,1.15,22.80
0.028,1,144.00,7.332,6.123,192,260818,178.0,4.25,1.15,22.80
0.035,1,144.00,7.332,6.114,192,260818,178.0,4.26,1.15,22.80
0.042,1,144.00,7.332,6.139,192,260818,178.0,4.27,1.15,22.80
0.049,1,144.00,7.332,6.084,192,260818,178.0,4.28,1.15,22.80
0.056,1,144.00,7.332,6.119,192,260818,178.0,4.29,1.15,22.80
0.063,1,144.00,7.332,6.103,192,260818,178.0,4.31,1.15,22.80
0.069,1,144.00,7.332,6.107,190,260650,178.0,4.32,1.15,22.80
0.076,1,144.00,7.332,6.121,190,260650,178.0,4.33,1.15,22.80
0.083,1,144.00,7.332,6.077,190,260650,178.0,4.34,1.15,22.80
0.090,1,144.00,7.332,6.109,190,260650,178.0,4.35,1.15,22.80
0.097,1,144.00,7.332,6.140,190,260650,178.0,4.37,1.15,22.80
0.104,1,144.00,7.332,6.112,190,260650,178.0,4.38,1.16,22.80
0.111,1,144.00,7.332,6.100,190,260650,178.0,4.39,1.16,22.80
0.118,1,144.00,7.332,6.106,189,260594,178.0,4.40,1.16,22.80
0.125,1,144.00,7.332,6.102,189,260594,178.0,4.41,1.16,22.80
0.132,1,144.00,7.332,6.126,189,260594,178.0,4.42,1.16,22.80
0.139,1,144.00,7.332,6.141,189,260594,178.0,4.44,1.16,22.80
0.145,1,144.00,7.332,6.145,189,260594,178.0,4.45,1.16,22.80
0.152,1,144.00,7.332,6.140,189,260594,178.0,4.46,1.16,22.80
0.159,1,144.00,7.332,6.144,189,260594,178.0,4.47,1.16,22.80
0.166,1,144.00,7.332,6.152,190,262890,178.0,4.48,1.16,22.80
0.172,1,144.00,7.332,6.096,190,262890,178.0,4.49,1.16,22.80
0.179,1,144.00,7.332,6.102,191,276330,178.0,4.50,1.16,22.80
0.186,1,144.00,7.332,6.104,192,278626,178.0,4.52,1.16,22.80
0.192,1,144.00,7.332,6.124,192,278626,178.0,4.53,1.16,22.80
0.199,1,144.00,7.332,6.120,193,293410,178.0,4.54,1.16,22.80
0.206,1,144.00,7.332,6.119,193,293410,178.0,4.55,1.16,22.80
0.212,1,144.00,7.332,6.132,193,293410,178.0,4.56,1.16,22.80
0.219,1,144.00,7.332,6.118,193,293410,178.0,4.57,1.16,22.80
0.226,1,144.00,7.332,6.134,193,293410,178.0,4.58,1.16,22.80
0.232,1,144.00,7.332,6.207,194,293802,178.0,4.59,1.16,22.80
0.239,1,144.00,7.332,6.203,195,294162,178.0,4.61,1.16,22.80
0.246,1,144.00,7.332,6.231,195,294162,178.0,4.62,1.16,22.80
0.252,1,144.00,7.332,6.228,196,296122,178.0,4.63,1.16,22.80
0.259,1,144.00,7.332,6.242,196,296122,178.0,4.64,1.16,22.80
0.266,1,144.00,7.332,6.273,196,296122,178.0,4.65,1.16,22.80
0.273,1,144.00,7.332,6.244,195,295618,178.0,4.66,1.16,22.80
0.280,1,144.00,7.332,6.255,195,295618,178.0,4.68,1.16,22.80
0.287,1,144.00,7.332,6.256,195,295618,178.0,4.69,1.16,22.80
0.293,1,144.00,7.332,6.257,196,296066,178.0,4.70,1.16,22.80
0.300,1,144.00,7.332,6.317,196,296066,178.0,4.71,1.16,22.80
0.307,1,144.00,7.332,6.305,196,296066,178.0,4.72,1.16,22.80
0.314,1,144.00,7.332,6.277,196,296066,178.0,4.73,1.16,22.80
0.321,1,144.00,7.332,6.299,194,295394,178.0,4.75,1.16,22.80
0.328,1,144.00,7.332,6.292,195,295634,178.0,4.76,1.16,22.80
0.334,1,144.00,7.332,6.289,195,295634,178.0,4.77,1.16,22.80
0.341,1,144.00,7.332,6.308,195,295634,178.0,4.78,1.16,22.80
0.348,1,144.00,7.332,6.349,195,295634,178.0,4.79,1.16,22.80
0.355,1,144.00,7.332,6.400,195,295634,178.0,4.80,1.16,22.80
0.362,1,144.00,7.332,6.427,196,296122,178.0,4.82,1.16,22.80
0.369,1,144.00,7.332,6.577,196,296122,178.0,4.83,1.16,22.80
0.376,1,144.00,7.332,6.569,196,296122,178.0,4.84,1.16,22.80
0.383,1,144.00,7.332,6.546,196,296122,178.0,4.85,1.16,22.80
0.390,1,144.00,7.332,6.554,197,296570,178.0,4.86,1.16,22.80
0.397,1,144.00,7.332,6.560,197,296570,178.0,4.87,1.16,22.80
0.404,1,144.00,7.332,6.563,197,296570,178.0,4.89,1.16,22.80
0.411,1,144.00,7.332,6.515,197,296570,178.0,4.90,1.16,22.80
0.418,1,144.00,7.332,6.551,196,296066,178.0,4.91,1.16,22.80
0.424,1,144.00,7.332,6.518,196,296066,178.0,4.92,1.16,22.80
0.431,1,144.00,7.332,6.567,197,296306,178.0,4.93,1.16,22.80
0.438,1,144.00,7.332,6.575,197,296306,178.0,4.95,1.16,22.80
0.445,1,144.00,7.332,6.548,197,296306,178.0,4.96,1.16,22.80
0.452,1,144.00,7.332,6.554,197,296306,178.0,4.97,1.16,22.80
0.459,1,144.00,7.332,6.551,197,296306,178.0,4.98,1.16,22.80
0.466,1,144.00,7.332,6.488,197,296306,178.0,4.99,1.16,22.80
0.473,1,144.00,7.332,6.457,195,295634,178.0,5.00,1.16,22.80
0.480,1,144.00,7.332,6.472,195,295634,178.0,5.02,1.16,22.80
0.487,1,144.00,7.332,6.442,195,295634,178.0,5.03,1.16,22.80
0.494,1,144.00,7.332,6.454,195,295634,178.0,5.04,1.15,22.80
0.501,1,144.00,7.332,6.475,195,295634,178.0,5.05,1.15,22.80
0.508,1,144.00,7.332,6.467,197,295754,178.0,5.06,1.15,22.80
0.515,1,144.00,7.332,6.472,197,295754,178.0,5.08,1.15,22.80
0.522,1,144.00,7.332,6.493,197,295754,178.0,5.09,1.15,22.80
0.529,1,144.00,7.332,6.486,196,295530,178.0,5.10,1.15,22.80
0.536,1,144.00,7.332,6.481,196,295530,178.0,5.11,1.15,22.80
0.543,1,144.00,7.332,6.473,196,295530,178.0,5.12,1.15,22.80
0.549,1,144.00,7.332,6.479,196,295530,178.0,5.13,1.15,22.80
0.556,1,144.00,7.332,6.474,196,295530,178.0,5.15,1.15,22.80
0.563,1,144.00,7.332,6.457,196,295530,178.0,5.16,1.15,22.80
0.570,1,144.00,7.332,6.526,196,295530,178.0,5.17,1.15,22.80
0.577,1,144.00,7.332,6.527,196,295530,178.0,5.18,1.15,22.80
0.584,1,144.00,7.332,6.528,196,295530,178.0,5.19,1.15,22.80
0.591,1,144.00,7.332,6.519,196,295530,178.0,5.20,1.15,22.80
0.598,1,144.00,7.332,6.493,196,295530,178.0,5.22,1.15,22.80
0.605,1,144.00,7.332,6.476,196,295530,178.0,5.23,1.15,22.80
0.612,1,144.00,7.332,6.483,196,295530,178.0,5.24,1.15,22.80
0.619,1,144.00,7.332,6.469,195,295474,178.0,5.25,1.15,22.80
0.626,1,144.00,7.332,6.416,195,295474,178.0,5.26,1.15,22.80
0.633,1,144.00,7.332,6.389,195,295474,178.0,5.28,1.15,22.80
0.640,1,144.00,7.332,6.376,195,295474,178.0,5.29,1.15,22.80
0.647,1,144.00,7.332,6.401,195,295474,178.0,5.30,1.15,22.80
0.654,1,144.00,7.332,6.422,195,295474,178.0,5.31,1.15,22.80
0.661,1,144.00,7.332,6.425,195,295474,178.0,5.32,1.14,22.80
0.668,1,144.00,7.332,6.447,196,295642,178.0,5.33,1.14,22.80
0.674,1,144.00,7.332,6.472,196,295642,178.0,5.35,1.14,22.80
0.681,1,144.00,7.332,6.475,196,295642,178.0,5.36,1.14,22.80
0.688,1,144.00,7.332,6.526,195,295418,178.0,5.37,1.14,22.80
0.695,1,144.00,7.332,6.512,194,295362,178.0,5.38,1.14,22.80
0.702,1,144.00,7.332,6.527,193,295306,178.0,5.39,1.14,22.80
0.709,1,144.00,7.332,6.534,193,295306,178.0,5.41,1.14,22.80
0.716,1,144.00,7.332,6.570,194,295418,178.0,5.42,1.14,22.80
0.723,1,144.00,7.332,6.497,194,295418,178.0,5.43,1.14,22.80
0.730,1,144.00,7.332,6.508,194,295418,178.0,5.44,1.14,22.80
0.737,1,144.00,7.332,6.515,194,295418,178.0,5.45,1.14,22.80
0.744,1,144.00,7.332,6.506,194,295418,178.0,5.46,1.14,22.80
0.751,1,144.00,7.332,6.524,194,295418,178.0,5.48,1.14,22.80
