=== t16_lamp_comes_on  21 mm  5.0 s  120 frames at 24 fps ===
    machine: NONE -- the hero is deliberately not on the site for this shot
  frame     t_s      x       y       z    step_mm   focus_m
      0   0.000   47.40    1.44   24.00       0.0     2.61
      1   0.042   47.40    1.44   24.00       0.0     2.61
      2   0.084   47.40    1.44   24.00       0.1     2.61
      3   0.126   47.40    1.44   24.00       0.1     2.61
      4   0.168   47.40    1.44   24.00       0.3     2.61
      5   0.210   47.40    1.44   24.00       0.4     2.61
      6   0.252   47.40    1.44   24.00       0.6     2.61
      7   0.294   47.40    1.44   24.00       0.9     2.62
      8   0.336   47.40    1.44   24.00       1.1     2.62
      9   0.378   47.41    1.44   24.00       1.4     2.62
     10   0.420   47.41    1.44   24.00       1.8     2.63
     11   0.462   47.41    1.44   24.00       2.1     2.63
     12   0.504   47.41    1.44   24.00       2.5     2.64
     13   0.546   47.41    1.44   24.00       2.9     2.64
     14   0.588   47.42    1.44   24.00       3.3     2.65
     15   0.630   47.42    1.44   24.00       3.8     2.66
     16   0.672   47.43    1.44   24.00       4.2     2.67
     17   0.714   47.43    1.44   24.00       4.7     2.68
     18   0.756   47.44    1.44   24.00       5.2     2.69
     19   0.798   47.44    1.44   24.00       5.6     2.70
     20   0.840   47.45    1.44   24.00       6.2     2.72
     21   0.882   47.45    1.44   24.00       6.7     2.73
     22   0.924   47.46    1.44   24.00       7.2     2.75
     23   0.966   47.47    1.44   24.00       7.7     2.77
     24   1.008   47.48    1.44   24.00       8.2     2.79
     25   1.050   47.49    1.44   24.00       8.8     2.80
     26   1.092   47.50    1.44   24.00       9.3     2.83
     27   1.134   47.50    1.44   24.00       9.8     2.85
     28   1.176   47.52    1.44   24.00      10.3     2.87
     29   1.218   47.53    1.44   24.00      10.9     2.90
     30   1.261   47.54    1.44   24.00      11.4     2.92
     31   1.303   47.55    1.44   24.00      11.9     2.95
     32   1.345   47.56    1.44   24.00      12.4     2.98
     33   1.387   47.57    1.44   24.00      12.9     3.00
     34   1.429   47.59    1.44   24.00      13.4     3.03
     35   1.471   47.60    1.44   24.00      13.9     3.06
     36   1.513   47.62    1.44   24.00      14.4     3.10
     37   1.555   47.63    1.44   24.00      14.8     3.13
     38   1.597   47.65    1.44   24.00      15.3     3.16
     39   1.639   47.66    1.44   24.00      15.7     3.20
     40   1.681   47.68    1.44   24.00      16.1     3.23
     41   1.723   47.69    1.44   24.00      16.5     3.27
     42   1.765   47.71    1.44   24.00      16.9     3.31
     43   1.807   47.73    1.44   24.00      17.3     3.35
     44   1.849   47.75    1.44   24.00      17.6     3.38
     45   1.891   47.76    1.45   24.00      18.0     3.42
     46   1.933   47.78    1.45   24.00      18.3     3.46
     47   1.975   47.80    1.45   24.00      18.6     3.50
     48   2.017   47.82    1.45   24.00      18.8     3.55
     49   2.059   47.84    1.45   24.00      19.1     3.59
     50   2.101   47.86    1.45   24.00      19.3     3.63
     51   2.143   47.88    1.45   24.00      19.6     3.67
     52   2.185   47.90    1.45   24.00      19.7     3.71
     53   2.227   47.92    1.45   24.00      19.9     3.76
     54   2.269   47.94    1.45   24.00      20.1     3.80
     55   2.311   47.96    1.45   24.00      20.2     3.84
     56   2.353   47.98    1.45   24.00      20.3     3.89
     57   2.395   48.00    1.45   24.00      20.4     3.93
     58   2.437   48.02    1.45   24.00      20.4     3.97
     59   2.479   48.04    1.45   24.00      20.5     4.02
     60   2.521   48.06    1.45   24.00      20.5     4.06
     61   2.563   48.08    1.45   24.00      20.5     4.10
     62   2.605   48.10    1.45   24.00      20.4     4.14
     63   2.647   48.12    1.45   24.00      20.4     4.19
     64   2.689   48.14    1.45   24.00      20.3     4.23
     65   2.731   48.16    1.45   24.00      20.2     4.27
     66   2.773   48.18    1.45   24.00      20.1     4.31
     67   2.815   48.20    1.45   24.00      19.9     4.35
     68   2.857   48.22    1.45   24.00      19.7     4.39
     69   2.899   48.24    1.45   24.00      19.6     4.43
     70   2.941   48.26    1.45   24.00      19.3     4.47
     71   2.983   48.28    1.45   24.00      19.1     4.51
     72   3.025   48.30    1.45   24.00      18.8     4.55
     73   3.067   48.32    1.45   24.00      18.6     4.59
     74   3.109   48.34    1.45   24.00      18.3     4.62
