=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      0   0.000   44.96    0.56   23.49       0.0     2.40     19.00
      1   0.042   44.96    0.56   23.49       0.0     2.40     19.04
      2   0.084   44.96    0.56   23.49       0.1     2.40     19.08
      3   0.126   44.96    0.56   23.49       0.3     2.40     19.13
      4   0.168   44.96    0.56   23.49       0.7     2.40     19.17
      5   0.211   44.96    0.56   23.49       1.1     2.40     19.21
      6   0.253   44.96    0.56   23.49       1.6     2.40     19.25
      7   0.295   44.96    0.56   23.49       2.1     2.40     19.29
      8   0.337   44.96    0.56   23.49       2.8     2.40     19.34
      9   0.379   44.97    0.56   23.49       3.5     2.41     19.38
     10   0.421   44.97    0.56   23.49       4.3     2.41     19.42
     11   0.463   44.98    0.56   23.49       5.1     2.41     19.46
     12   0.505   44.98    0.55   23.49       6.0     2.41     19.51
     13   0.547   44.99    0.55   23.49       6.9     2.42     19.55
     14   0.589   45.00    0.55   23.49       7.8     2.42     19.59
     15   0.632   45.01    0.55   23.49       8.8     2.42     19.63
     16   0.674   45.02    0.55   23.49       9.8     2.43     19.67
     17   0.716   45.03    0.55   23.49      10.9     2.43     19.72
     18   0.758   45.04    0.55   23.49      11.9     2.44     19.76
     19   0.800   45.05    0.54   23.49      13.0     2.45     19.80
     20   0.842   45.06    0.54   23.49      14.0     2.45     19.84
     21   0.884   45.08    0.54   23.48      15.1     2.46     19.88
     22   0.926   45.10    0.54   23.48      16.2     2.47     19.93
     23   0.968   45.11    0.53   23.48      17.2     2.48     19.97
     24   1.011   45.13    0.53   23.48      18.3     2.49     20.01
     25   1.053   45.15    0.53   23.48      19.3     2.49     20.05
     26   1.095   45.17    0.52   23.48      20.3     2.50     20.09
     27   1.137   45.19    0.52   23.48      21.3     2.51     20.14
     28   1.179   45.21    0.52   23.48      22.3     2.52     20.18
     29   1.221   45.24    0.51   23.48      23.3     2.54     20.22
     30   1.263   45.26    0.51   23.48      24.2     2.55     20.26
     31   1.305   45.28    0.50   23.48      25.1     2.56     20.31
     32   1.347   45.31    0.50   23.47      25.9     2.57     20.35
     33   1.389   45.34    0.50   23.47      26.7     2.58     20.39
     34   1.432   45.36    0.49   23.47      27.5     2.60     20.43
     35   1.474   45.39    0.49   23.47      28.2     2.61     20.47
     36   1.516   45.42    0.48   23.47      28.9     2.63     20.52
