=== map_reveal   13.0 s   312 frames at 24 fps   2395022 points   1 draw call ===
  frame     t_s     az_deg   dist_m   slab_m
      0    0.00     58.0     44.0     16.0
     24    1.00     59.1     46.5     16.0
     48    2.01     62.6     53.9     16.0
     72    3.01     68.3     66.2     16.3
     96    4.01     74.8     80.3     18.1
    120    5.02     81.3     94.4     21.5
    144    6.02     87.9    108.5     25.9
    168    7.02     94.4    122.6     29.9
    192    8.03    100.9    136.7     32.4
    216    9.03    107.5    150.8     33.1
    240   10.03    114.0    164.9     33.2
    264   11.04    119.6    177.1     33.2
    288   12.04    122.9    184.3     33.2
    311   13.00    124.0    186.5     33.2
  312 frames in 44.9 s = 0.14 s/frame
