t_s,frame_ms,draw_calls,primitives,objects,video_mem,x,y,z
1.183,9.543,729,2502463,729,310861056,-40.0,7.9,30.5
1.426,16.460,720,2431241,720,310861056,-36.7,6.6,27.7
1.775,18.056,718,2466344,718,310861056,-32.0,4.8,23.7
2.123,16.875,682,2375736,682,310861056,-28.3,3.8,20.7
2.455,15.999,648,2349074,648,310861056,-25.6,3.4,18.4
2.788,16.667,652,2366528,652,310861056,-22.8,3.0,16.2
3.134,17.784,577,2260052,577,310861056,-19.9,2.6,13.8
3.494,18.056,539,2172030,539,310861056,-16.9,2.1,11.4
3.741,11.111,492,1932925,492,310861056,-14.9,1.8,9.7
3.963,11.111,622,2057426,622,310861056,-14.4,1.7,8.5
4.215,17.929,629,2057992,629,310861056,-15.1,1.7,7.3
4.574,16.667,603,1985210,603,310861056,-16.3,1.7,5.6
4.910,17.303,599,1972687,599,310861056,-17.3,1.6,4.0
5.142,10.885,587,1978631,587,310861056,-18.0,1.6,2.9
5.357,10.606,591,2051271,591,310861056,-18.7,1.6,1.9
5.598,17.376,601,2045934,601,310861056,-19.5,1.6,0.8
5.941,16.667,568,2015248,568,310861056,-18.8,1.6,0.3
6.285,18.042,553,2014342,553,310861056,-16.2,1.6,0.8
6.643,18.056,529,2032748,529,310861056,-13.6,1.6,1.4
6.980,11.158,512,1968010,512,310861056,-11.2,1.6,1.9
7.203,11.111,497,1935472,497,310861056,-9.6,1.6,2.2
7.464,18.190,467,1870507,467,310861056,-7.7,1.6,2.6
7.823,18.056,413,1595370,413,310861056,-5.5,1.6,3.3
8.161,16.667,384,1600010,384,310861056,-4.1,1.7,4.2
8.474,15.278,368,1536736,368,310861056,-2.7,1.8,5.0
8.778,15.033,360,1506502,360,310861056,-1.5,1.9,5.8
9.069,14.259,353,1522634,353,310861056,-0.3,2.0,6.6
9.356,14.286,331,1480634,331,310861056,0.9,2.1,7.3
9.641,14.286,346,1491763,346,310861056,2.2,2.2,8.1
9.917,13.636,328,1477103,328,310861056,4.5,2.2,8.9
10.190,13.636,318,1481495,318,310861056,6.8,2.3,9.8
10.463,13.636,289,1450184,289,310861056,9.0,2.3,10.6
10.723,12.040,251,1370458,251,310861056,11.2,2.3,11.5
10.985,16.134,229,1289562,229,310861056,13.4,2.3,12.3
11.283,14.241,170,1193804,170,310861056,15.9,2.4,13.2
11.563,13.889,161,1191308,161,310861056,18.2,2.4,13.9
11.823,12.735,136,1158124,136,310861056,20.4,2.3,12.8
12.074,12.500,265,1436294,265,310861056,22.5,2.2,11.8
12.344,14.019,261,1438269,261,310861056,24.7,2.1,10.6
12.627,14.286,248,1456528,248,310861056,27.1,2.0,9.5
12.913,14.286,248,1465695,248,310861056,29.4,1.9,8.3
13.195,13.889,239,1435963,239,310861056,31.8,1.8,7.1
13.473,13.889,225,1418935,225,310861056,34.1,1.7,6.0
13.755,14.286,461,1500118,461,310861056,36.1,1.7,4.8
14.040,14.286,496,1534022,496,310861056,38.2,1.7,3.6
14.334,15.535,575,1798504,575,310861056,40.4,1.7,2.4
14.654,16.667,680,2207572,680,310861056,42.7,1.7,1.0
14.982,15.755,709,2376298,709,310861056,45.1,1.7,-0.3
15.295,15.701,707,2430345,707,310861056,47.4,1.7,-1.6
15.616,16.592,713,2356423,713,310861056,45.8,2.5,-3.4
15.950,16.667,714,2430529,714,310861056,42.7,3.6,-5.5
16.281,16.667,700,2428992,700,310861056,39.6,4.6,-7.6
16.621,18.056,705,2460262,705,310861056,36.4,5.7,-9.7
16.974,17.197,691,2458854,691,310861056,33.1,6.9,-11.9
17.318,17.591,680,2455804,680,310861056,29.9,8.0,-14.0
17.663,16.667,631,2410731,631,310861056,25.6,7.6,-15.1
17.984,15.400,593,2381715,593,310861056,21.6,7.3,-16.1
18.287,15.152,605,2449251,605,310861056,17.8,7.0,-17.1
18.592,15.278,632,2431009,632,310861056,14.0,6.7,-18.0
18.902,16.667,639,2406759,639,310861056,10.1,6.3,-19.0
19.229,16.458,641,2362840,641,310861056,6.0,6.0,-20.0
19.563,16.667,661,2431290,661,310861056,1.5,6.5,-19.7
19.890,16.667,603,2161850,603,310861056,-2.9,7.0,-19.3
20.219,15.516,552,1919860,552,310861056,-7.4,7.5,-19.0
20.526,15.278,530,1872598,530,310861056,-11.5,8.0,-18.7
20.827,15.000,494,1826082,494,310861056,-15.6,8.5,-18.3
21.126,14.513,477,1747283,477,310861056,-19.6,9.0,-18.0
21.407,13.771,475,1875408,475,310861056,-23.7,9.4,-16.4
21.681,13.636,420,1691350,420,310861056,-27.7,9.8,-14.7
21.953,13.636,398,1675242,398,310861056,-31.6,10.2,-13.0
22.219,12.794,362,1571942,362,310861056,-35.5,10.7,-11.4
22.470,12.500,320,1516112,320,310861056,-39.2,11.1,-9.8
22.720,12.500,289,1374790,289,310861056,-42.8,11.4,-8.2
22.964,11.947,261,1335986,261,310861056,-46.4,11.8,-6.7
23.200,11.634,243,1314304,243,310861056,-48.5,12.1,-2.8
23.427,11.111,193,1268856,193,310861056,-49.5,12.4,3.1
23.649,11.111,157,1251292,157,310861056,-50.4,12.6,8.9
23.871,11.111,144,1213056,144,310861056,-51.3,12.8,14.7
24.093,11.111,100,1182524,100,310861056,-52.2,13.1,20.4
24.305,10.274,87,1178524,87,310861056,-53.1,13.3,25.9
24.506,10.000,72,1142428,72,310861056,-53.9,13.5,31.2
24.706,10.000,101,1142778,101,310861056,-54.8,13.7,36.4
24.901,9.722,296,1658112,296,310861056,-55.6,13.9,41.4
