t_s,frame_ms,draw_calls,primitives,objects,video_mem,x,y,z
1.093,4.762,721,1159071,721,301875712,-46.8,10.4,36.2
1.188,4.762,731,1196819,731,301875712,-46.0,10.1,35.5
1.283,4.762,729,1162620,729,301875712,-45.2,9.8,34.8
1.378,4.762,726,1140055,726,301875712,-44.4,9.5,34.1
1.474,4.762,752,1241551,752,301875712,-43.5,9.2,33.5
1.569,4.762,775,1257631,775,301875712,-42.7,8.9,32.8
1.664,4.762,791,1381690,791,301875712,-41.9,8.6,32.1
1.763,5.072,811,1389306,811,301875712,-41.1,8.3,31.4
1.872,5.112,828,1394181,828,301875712,-40.2,7.9,30.6
1.973,5.077,826,1370613,826,301875712,-39.3,7.6,29.9
2.073,5.000,832,1373381,832,301875712,-38.5,7.3,29.2
2.173,5.000,846,1381569,846,301875712,-37.6,6.9,28.5
2.273,5.000,853,1392823,853,301875712,-36.8,6.6,27.7
2.373,5.000,886,1504107,886,301875712,-35.9,6.3,27.0
2.473,5.000,903,1609493,903,301875712,-35.1,6.0,26.3
2.574,5.169,918,1635266,918,301875712,-34.3,5.6,25.6
2.677,5.214,913,1637768,913,301875712,-33.4,5.3,24.9
2.783,5.316,924,1763396,924,301875712,-32.5,5.0,24.1
2.889,5.434,944,1766074,944,301875712,-31.6,4.6,23.3
2.995,5.248,947,1718195,947,301875712,-30.7,4.3,22.6
3.100,5.130,822,1607697,822,301875712,-29.9,4.0,21.9
3.203,5.219,821,1605689,821,301875712,-29.3,3.9,21.5
3.306,5.152,818,1597809,818,301875712,-28.8,3.8,21.0
3.410,5.238,811,1637108,811,301875712,-28.3,3.8,20.6
3.513,5.061,798,1652359,798,301875712,-27.7,3.7,20.2
3.615,5.169,803,1740450,803,301875712,-27.2,3.6,19.7
3.719,5.291,802,1769662,802,301875712,-26.7,3.5,19.3
3.824,5.273,780,1655042,780,301875712,-26.1,3.4,18.8
3.929,5.556,790,1686093,790,301875712,-25.6,3.4,18.4
4.035,5.226,785,1684733,785,301875712,-25.0,3.3,18.0
4.143,5.556,777,1761492,777,301875712,-24.5,3.2,17.5
4.251,5.322,764,1676181,764,301875712,-23.9,3.1,17.0
4.358,5.371,758,1673463,758,301875712,-23.3,3.0,16.6
4.468,5.556,751,1673867,751,301875712,-22.8,3.0,16.1
4.576,5.411,741,1672635,741,301875712,-22.2,2.9,15.7
4.685,5.392,715,1658077,715,301875712,-21.6,2.8,15.2
4.794,5.451,706,1657847,706,301875712,-21.1,2.7,14.7
4.902,5.459,664,1635491,664,301875712,-20.5,2.6,14.3
5.010,5.297,647,1508659,647,301875712,-19.9,2.6,13.8
5.116,5.215,644,1515603,644,301875712,-19.4,2.5,13.4
5.222,5.250,638,1497643,638,301875712,-18.8,2.4,12.9
5.327,5.299,629,1496366,629,301875712,-18.3,2.3,12.5
5.433,5.369,631,1575242,631,301875712,-17.8,2.2,12.0
5.539,5.304,636,1577814,636,301875712,-17.2,2.2,11.6
5.645,5.250,619,1568420,619,301875712,-16.6,2.1,11.1
5.752,5.348,616,1588665,616,301875712,-16.1,2.0,10.7
5.858,5.347,605,1469073,605,301875712,-15.5,1.9,10.2
5.964,5.556,586,1472829,586,301875712,-15.0,1.8,9.8
6.070,5.344,563,1466369,563,301875712,-14.4,1.8,9.4
6.176,5.267,1006,1867081,1006,301875712,-14.0,1.7,8.9
6.281,5.556,1026,1872673,1026,301875712,-14.2,1.7,8.6
6.385,5.153,1049,1878775,1049,301875712,-14.5,1.7,8.3
6.489,5.198,1066,1884663,1066,301875712,-14.7,1.7,8.0
6.594,5.390,1078,2008063,1078,301875712,-14.9,1.7,7.7
6.703,5.406,1095,2013529,1095,301875712,-15.1,1.7,7.4
6.813,5.556,1102,2019197,1102,301875712,-15.3,1.7,7.1
6.924,5.556,1108,2098099,1108,301875712,-15.5,1.7,6.7
