t_s,frame_ms,draw_calls,primitives,objects,video_mem,x,y,z
1.131,6.667,783,1528397,783,224518784,-46.4,10.3,35.9
1.264,6.667,784,1508904,784,224518784,-45.3,9.9,35.0
1.398,6.667,794,1489449,794,224518784,-44.2,9.5,34.0
1.531,6.667,816,1581751,816,224518784,-43.1,9.0,33.1
1.664,6.667,834,1710860,834,224518784,-41.9,8.6,32.1
1.801,6.999,858,1729751,858,224518784,-40.8,8.1,31.1
1.944,7.143,873,1730277,873,224518784,-39.6,7.7,30.1
2.087,7.143,869,1714917,869,224518784,-38.4,7.2,29.1
2.230,7.143,869,1724767,869,224518784,-37.2,6.8,28.1
2.375,7.407,899,1822863,899,224518784,-35.9,6.3,27.0
2.526,7.576,919,1931493,919,224518784,-34.7,5.8,25.9
2.679,7.815,925,1962364,925,224518784,-33.4,5.3,24.8
2.897,12.500,921,2064998,921,224518784,-31.5,4.6,23.3
3.146,12.121,879,1930411,879,224518784,-29.6,3.9,21.7
3.384,11.450,867,1901614,867,224518784,-28.4,3.8,20.7
3.592,7.567,851,1989328,851,224518784,-27.3,3.6,19.8
3.744,7.576,836,2093576,836,224518784,-26.5,3.5,19.2
3.895,7.576,810,1997616,810,224518784,-25.7,3.4,18.5
4.094,11.708,796,2000869,796,224518784,-24.7,3.2,17.7
4.333,11.991,770,1997653,770,224518784,-23.5,3.1,16.7
4.575,12.121,719,1982437,719,224518784,-22.2,2.9,15.7
4.808,8.140,683,1971515,683,224518784,-21.0,2.7,14.7
4.972,8.065,634,1830065,634,224518784,-20.1,2.6,14.0
5.133,7.576,624,1836329,624,224518784,-19.3,2.5,13.3
5.349,11.905,621,1886112,621,224518784,-18.2,2.3,12.4
5.592,12.278,599,1872660,599,224518784,-16.9,2.1,11.4
5.840,12.500,569,1882863,569,224518784,-15.6,1.9,10.3
6.054,8.480,524,1753380,524,224518784,-14.5,1.8,9.4
6.221,8.333,829,2093123,829,224518784,-14.1,1.7,8.8
6.398,12.750,837,2095449,837,224518784,-14.5,1.7,8.3
6.653,12.963,843,2213671,843,224518784,-15.0,1.7,7.5
6.912,12.963,849,2297939,849,224518784,-15.5,1.7,6.8
7.170,12.500,847,2180331,847,224518784,-16.0,1.7,6.0
7.346,8.333,843,2204796,843,224518784,-16.3,1.7,5.5
7.510,8.065,851,2201350,851,224518784,-16.6,1.7,5.0
7.666,7.576,850,2198848,850,224518784,-16.9,1.7,4.6
7.826,8.214,842,2196178,842,224518784,-17.3,1.6,4.1
8.004,12.328,833,2184150,833,224518784,-17.6,1.6,3.6
8.253,12.725,814,2290234,814,224518784,-18.1,1.6,2.9
8.508,12.963,816,2408619,816,224518784,-18.6,1.6,2.1
8.767,12.711,820,2439959,820,224518784,-19.1,1.6,1.4
8.958,9.259,828,2444387,828,224518784,-19.5,1.6,0.8
9.130,8.333,824,2357672,824,224518784,-19.8,1.6,0.3
9.369,12.963,806,2294174,806,224518784,-19.4,1.6,0.1
9.630,12.963,787,2270370,787,224518784,-18.2,1.6,0.4
9.889,12.963,778,2238010,778,224518784,-17.0,1.6,0.6
10.093,8.505,765,2221068,765,224518784,-16.1,1.6,0.8
10.260,8.333,764,2114778,764,224518784,-15.3,1.6,1.0
10.459,12.584,754,2105734,754,224518784,-14.4,1.6,1.2
10.714,12.963,727,2011957,727,224518784,-13.3,1.6,1.4
10.972,12.500,726,2084072,726,224518784,-12.1,1.6,1.7
11.222,12.963,712,2071806,712,224518784,-10.9,1.6,1.9
11.442,8.265,708,2065388,708,224518784,-9.9,1.6,2.2
11.601,7.576,701,2063920,701,224518784,-9.2,1.6,2.3
11.763,8.047,686,2046026,686,224518784,-8.5,1.6,2.5
11.924,7.844,675,1972133,675,224518784,-7.7,1.6,2.6
12.160,12.500,640,1877021,640,224518784,-6.7,1.6,2.9
12.407,12.121,640,1935725,640,224518784,-5.7,1.6,3.2
12.650,12.121,623,1832080,623,224518784,-5.1,1.7,3.6
12.881,11.111,611,1846231,611,224518784,-4.5,1.7,3.9
13.108,11.667,590,1835915,590,224518784,-3.9,1.8,4.3
13.338,11.442,574,1782760,574,224518784,-3.3,1.8,4.7
13.565,11.384,549,1788946,549,224518784,-2.7,1.8,5.0
13.789,11.111,535,1697094,535,224518784,-2.1,1.9,5.4
14.011,11.111,526,1695447,526,224518784,-1.6,1.9,5.8
14.225,10.606,520,1719083,520,224518784,-1.0,2.0,6.1
14.411,7.040,506,1703759,506,224518784,-0.5,2.0,6.4
14.551,6.944,495,1700595,495,224518784,-0.2,2.0,6.6
14.690,6.944,485,1698279,485,224518784,0.2,2.1,6.9
14.861,10.812,473,1667682,473,224518784,0.6,2.1,7.1
15.074,10.606,448,1544536,448,224518784,1.2,2.1,7.5
15.286,10.606,439,1542856,439,224518784,1.7,2.2,7.8
15.498,10.606,498,1621954,498,224518784,2.6,2.2,8.2
