t_s,frame_ms,draw_calls,primitives,objects,video_mem,x,y,z
1.258,13.333,750,1534180,750,297292496,-45.4,9.9,35.0
1.467,10.606,761,1583971,761,297292496,-43.6,9.2,33.5
1.676,10.417,803,1723566,803,297292496,-41.8,8.6,32.0
1.887,10.606,832,1741773,832,297292496,-40.1,7.9,30.5
2.117,11.667,837,1731739,837,297292496,-38.1,7.1,28.9
2.353,12.163,850,1827097,850,297292496,-36.1,6.4,27.2
2.601,12.647,887,1960296,887,297292496,-34.0,5.5,25.4
2.858,12.963,900,2081846,900,297292496,-31.9,4.7,23.6
3.166,20.226,854,1940313,854,297292496,-29.5,3.9,21.6
3.573,20.000,830,1995377,830,297292496,-27.4,3.6,19.9
3.925,12.656,783,2017641,783,297292496,-25.6,3.4,18.4
4.177,12.500,774,2090006,774,297292496,-24.3,3.2,17.4
4.433,12.963,736,2003967,736,297292496,-23.0,3.0,16.3
4.696,13.385,686,1980933,686,297292496,-21.6,2.8,15.2
4.967,13.636,614,1833819,614,297292496,-20.2,2.6,14.0
5.343,20.000,609,1828472,609,297292496,-18.2,2.3,12.4
5.756,21.343,584,1916961,584,297292496,-16.1,2.0,10.7
6.071,13.889,530,1783752,530,297292496,-14.4,1.8,9.3
6.349,13.889,824,2118929,824,297292496,-14.4,1.7,8.4
6.753,23.333,821,2233361,821,297292496,-15.2,1.7,7.2
7.222,23.766,824,2188983,824,297292496,-16.1,1.7,5.9
7.529,14.088,832,2205938,832,297292496,-16.7,1.7,5.0
7.808,13.889,833,2206724,833,297292496,-17.2,1.6,4.2
8.235,22.727,807,2312702,807,297292496,-18.1,1.6,2.9
8.678,14.522,808,2460621,808,297292496,-18.9,1.6,1.6
8.975,14.815,815,2466843,815,297292496,-19.5,1.6,0.7
9.272,16.048,807,2334062,807,297292496,-19.8,1.6,0.0
9.701,21.667,782,2270881,782,297292496,-17.9,1.6,0.5
10.136,21.667,755,2245894,755,297292496,-15.9,1.6,0.9
10.460,13.889,742,2122332,742,297292496,-14.4,1.6,1.2
10.738,13.889,726,2088677,726,297292496,-13.1,1.6,1.5
11.098,21.344,716,2105848,716,297292496,-11.5,1.6,1.8
11.536,22.222,695,2089038,695,297292496,-9.5,1.6,2.2
11.978,21.667,669,1983975,669,297292496,-7.5,1.6,2.7
12.407,21.128,634,1989359,634,297292496,-5.7,1.6,3.2
12.811,19.338,615,1856090,615,297292496,-4.7,1.7,3.8
13.199,19.444,590,1850465,590,297292496,-3.7,1.8,4.4
13.581,18.876,552,1825736,552,297292496,-2.7,1.8,5.1
13.954,18.231,533,1721957,533,297292496,-1.7,1.9,5.7
14.317,18.182,512,1733215,512,297292496,-0.8,2.0,6.3
14.681,18.182,489,1724301,489,297292496,0.2,2.1,6.9
15.045,18.333,451,1571688,451,297292496,1.1,2.1,7.4
15.418,18.910,496,1645042,496,297292496,2.2,2.2,8.1
15.664,11.111,483,1645180,483,297292496,3.5,2.2,8.5
15.917,17.671,470,1639416,470,297292496,4.8,2.2,9.0
16.287,19.194,456,1637396,456,297292496,6.7,2.3,9.8
16.679,19.697,419,1623098,419,297292496,8.7,2.3,10.5
17.073,19.697,365,1483609,365,297292496,10.8,2.3,11.3
17.468,19.697,323,1336598,323,297292496,12.8,2.3,12.1
17.862,19.697,291,1330671,291,297292496,14.9,2.4,12.8
18.228,16.667,198,967917,198,297292496,16.8,2.4,13.5
18.553,14.676,192,966129,192,297292496,18.5,2.4,13.8
18.844,14.583,164,950187,164,297292496,20.0,2.3,13.0
19.136,14.583,153,944975,153,297292496,21.5,2.2,12.2
19.428,16.488,308,1309276,308,297292496,23.0,2.2,11.5
19.763,16.667,305,1323382,305,297292496,24.8,2.1,10.6
20.096,16.667,292,1330088,292,297292496,26.5,2.0,9.8
20.422,16.180,273,1345778,273,297292496,28.2,2.0,8.9
20.746,15.900,258,1271722,258,297292496,29.9,1.9,8.1
21.074,16.667,246,1133766,246,297292496,31.6,1.8,7.2
21.402,16.573,226,1027682,226,297292496,33.3,1.7,6.4
21.736,16.667,555,1895405,555,297292496,34.9,1.7,5.5
22.080,17.537,572,1922143,572,297292496,36.5,1.7,4.6
22.438,17.465,606,1935600,606,297292496,38.1,1.7,3.7
22.790,17.658,618,1938126,618,297292496,39.7,1.7,2.7
23.147,17.890,681,2101393,681,297292496,41.3,1.7,1.8
23.506,17.401,775,2125123,775,297292496,43.0,1.7,0.9
23.846,16.667,795,2132759,795,297292496,44.5,1.7,0.0
24.176,15.989,817,2140169,817,297292496,46.0,1.7,-0.9
24.489,15.278,821,2188754,821,297292496,47.4,1.7,-1.7
24.812,16.667,867,2304425,867,297292496,46.9,2.1,-2.8
25.145,16.667,872,2309963,872,297292496,44.9,2.8,-4.1
25.503,18.056,880,2322337,880,297292496,42.8,3.5,-5.5
25.848,17.280,852,2263676,852,297292496,40.8,4.2,-6.8
26.201,18.056,841,2256688,841,297292496,38.7,4.9,-8.2
26.568,19.102,847,2263576,847,297292496,36.6,5.7,-9.6
26.950,19.048,825,2148278,825,297292496,34.3,6.5,-11.1
27.332,19.254,816,2146928,816,297292496,32.1,7.3,-12.6
27.723,20.141,834,2223049,834,297292496,29.8,8.0,-14.1
28.122,20.000,775,2125642,775,297292496,26.6,7.7,-14.8
28.508,17.583,753,1919762,753,297292496,23.6,7.5,-15.6
28.854,17.295,733,1829271,733,297292496,20.9,7.2,-16.3
29.206,17.738,705,2012704,705,297292496,18.2,7.0,-17.0
29.564,17.610,683,2005778,683,297292496,15.4,6.8,-17.7
29.913,16.965,680,2034643,680,297292496,12.7,6.6,-18.3
30.254,17.075,686,2043764,686,297292496,10.0,6.3,-19.0
30.590,17.077,695,2029459,695,297292496,7.4,6.1,-19.7
30.933,18.056,715,1957378,715,297292496,4.6,6.2,-19.9
31.290,17.399,664,1849952,664,297292496,1.6,6.5,-19.7
31.642,17.617,640,1826750,640,297292496,-1.4,6.9,-19.4
32.001,18.056,618,1736258,618,297292496,-4.4,7.2,-19.2
32.358,17.286,604,1752747,604,297292496,-7.4,7.5,-19.0
32.698,16.913,561,1633618,561,297292496,-10.3,7.9,-18.7
33.035,17.100,535,1553703,535,297292496,-13.1,8.2,-18.5
33.370,16.795,509,1486435,509,297292496,-16.0,8.5,-18.3
33.703,16.172,477,1481765,477,297292496,-18.8,8.9,-18.1
34.010,15.278,591,1833272,591,297292496,-21.5,9.2,-17.4
34.303,14.359,542,1593312,542,297292496,-24.2,9.4,-16.2
34.587,14.155,500,1559101,500,297292496,-26.7,9.7,-15.1
34.864,13.636,451,1532302,451,297292496,-29.3,10.0,-14.0
35.136,13.636,435,1548042,435,297292496,-31.7,10.3,-13.0
35.406,13.125,391,1440077,391,297292496,-34.2,10.5,-11.9
35.662,12.500,361,1311690,361,297292496,-36.5,10.8,-10.9
35.912,12.500,320,1290684,320,297292496,-38.8,11.0,-9.9
36.162,12.500,315,1296630,315,297292496,-41.1,11.3,-9.0
36.415,12.599,291,1269088,291,297292496,-43.4,11.5,-8.0
36.665,12.500,279,1256908,279,297292496,-45.7,11.7,-7.0
36.910,12.067,273,1254900,273,297292496,-47.9,12.0,-6.1
37.150,11.905,248,1271750,248,297292496,-48.6,12.1,-2.3
37.386,11.482,194,1011373,194,297292496,-49.2,12.3,1.5
37.610,11.111,168,1020091,168,297292496,-49.8,12.4,5.2
37.833,11.344,132,983159,132,297292496,-50.4,12.6,8.8
38.058,11.272,120,939157,120,297292496,-51.0,12.7,12.4
38.283,11.111,99,856814,99,297292496,-51.5,12.9,16.1
38.506,11.111,78,820594,78,297292496,-52.1,13.0,19.7
38.720,10.415,62,789598,62,297292496,-52.7,13.2,23.2
38.928,10.417,65,815102,65,297292496,-53.2,13.3,26.6
39.137,10.606,55,782284,55,297292496,-53.8,13.4,30.0
39.351,11.290,57,756043,57,297292496,-54.3,13.6,33.5
39.587,11.905,161,824567,161,297292496,-54.9,13.7,37.3
39.825,11.905,323,907285,323,297292496,-55.5,13.9,41.2
